network,address,normalizedAddress,trackedStatus,inDeployments,inOpenZeppelin,hasCode,creator,creationTxHash,files,keys
base-sepolia,0x07D28cA0ccAE70e992A1a1Dd310443bb96C81979,0x07d28ca0ccae70e992a1a1dd310443bb96c81979,deployments_only,true,false,true,0x89c6c4e7f952c1c07467e32ea2ff0660f6d4c627,0xedcf62d43b9bcdff0f00e79380af4ea74e09bd1886c2411ac038718162c948a5,deployments/deployment-base-sepolia-2026-02-07T20-30-22-290Z.json|deployments/deployment-base-sepolia-latest.json,emissionsContract
base-sepolia,0x0904192498effF59e0502aE1700ecAa9B1708543,0x0904192498efff59e0502ae1700ecaa9b1708543,deployments_only,true,false,false,,,deployments/base-sepolia-migration-latest.json|deployments/base-sepolia-oft-v2-hub.json|deployments/ethereum-sepolia-distributor-1764759735509.json|deployments/ethereum-sepolia-distributor-latest.json|deployments/ethereum-sepolia-spoke-1764759110560.json|deployments/reward-weighting-registry-84532-1764763269527.json|deployments/reward-weighting-registry-84532-latest.json|deployments/verification-1764758815943.json,deployer|deployment.deployer
base-sepolia,0x198Bf984C5757947A0a88C901f12371A5ad3e000,0x198bf984c5757947a0a88c901f12371a5ad3e000,deployments_only,true,false,true,0x89c6c4e7f952c1c07467e32ea2ff0660f6d4c627,0x73716d76ca30d20e68d4ce42da8f5a235258f46e975a19a11cab4c437640c77c,deployments/deployment-base-sepolia-2026-02-07T20-30-22-290Z.json|deployments/deployment-base-sepolia-latest.json,zkMerkleDistributor|zkMerkleDistributorImplementation
base-sepolia,0x1a48bf090b02da27c0e60cb6659d4450904A846F,0x1a48bf090b02da27c0e60cb6659d4450904a846f,deployments_only,true,false,true,0x0904192498efff59e0502ae1700ecaa9b1708543,0x251b59d2840833c97d8703899a42f716452d31e28067a26dcee11dc8569f0ac1,deployments/base-sepolia-migration-latest.json|deployments/verification-1764758815943.json,deployment.dualPoolStaking|dualPoolStaking|results.12.actual|results.12.expected|results.7.actual|results.7.expected
base-sepolia,0x22cD2e45f3462d44bAb4ab2427A491c5FE70f7d4,0x22cd2e45f3462d44bab4ab2427a491c5fe70f7d4,openzeppelin_only,false,true,true,0x0904192498efff59e0502ae1700ecaa9b1708543,0x510f93dee34d032e778baeec2c6288b3f921fb712985e5074bb55339431da4ed,.openzeppelin/base-sepolia.json,proxies.3.address
base-sepolia,0x234072cCE1289674d6eD21260A8522C427651ce1,0x234072cce1289674d6ed21260a8522c427651ce1,openzeppelin_only,false,true,true,0x0904192498efff59e0502ae1700ecaa9b1708543,0x8b2984e55e206df0cb76e2eaddb7fee2c2ae9c96d61f735f4dc6f005fbf0a47f,.openzeppelin/base-sepolia.json,impls.ed4cc587896eae51da69331dad4f961baf5e3cee95bd8a027f2bda419976e7d6.address
base-sepolia,0x2B5A6b209EE8B0b118dD76092420C9b45f4E99cb,0x2b5a6b209ee8b0b118dd76092420c9b45f4e99cb,deployments_only,true,false,true,0x89c6c4e7f952c1c07467e32ea2ff0660f6d4c627,0x437f86f9113913a6ec8d82b9d7e015bf9ad08ed2991090876c70aab79ded35ba,deployments/deployment-base-sepolia-2026-02-03T19-30-41-174Z.json,liquidStakingVault|liquidStakingVaultImplementation
base-sepolia,0x2e10e419c550A9f4Cf350Cc0557Ae14d5fF097C1,0x2e10e419c550a9f4cf350cc0557ae14d5ff097c1,openzeppelin_only,false,true,true,0x89c6c4e7f952c1c07467e32ea2ff0660f6d4c627,0x0d1b4ace56d2a058f85bb16025c6b7b52fbfb8eda4c85b07a715a36b34f95ef7,.openzeppelin/base-sepolia.json,proxies.22.address
base-sepolia,0x39a211De877c74a9e181e2253EDe847bB4eC70cf,0x39a211de877c74a9e181e2253ede847bb4ec70cf,deployments_only,true,false,true,0x0904192498efff59e0502ae1700ecaa9b1708543,0x0f5a2fe29855768d5a7cba12f7d1fde73184acacae7c31946b791bf5166ed657,deployments/base-sepolia-migration-latest.json|deployments/verification-1764758815943.json,deployment.emissionsContract|emissionsContract|results.9.actual|results.9.expected
base-sepolia,0x425DA859900706E8E40eB09276BBDeB2eea4be21,0x425da859900706e8e40eb09276bbdeb2eea4be21,deployments_only,true,false,true,0x0904192498efff59e0502ae1700ecaa9b1708543,0x72a721da3645ccd84018f429bb1eab69b784a3282b1fc10bd61dfa5ba021243d,deployments/base-sepolia-migration-latest.json|deployments/verification-1764758815943.json,deployment.dualPoolStakingImpl|dualPoolStakingImpl
